id,activation,optimizer,lr,batch_size,bn,dropout,scheduler,weight_decay,momentum,width_mult,epochs,seed,val_split,best_val_acc,best_epoch,test_acc_at_best,runtime_sec,device
C21,gelu,nesterov,0.1,64,True,0.3,multistep,0.0005,0.9,1.0,20,42,5000,78.14,20,81.43,1594.55,cpu
C22,gelu,nesterov,0.1,128,True,0.0,multistep,0.0005,0.9,1.0,20,42,5000,80.02,19,82.86,1701.42,cpu
C23,gelu,nesterov,0.01,64,True,0.3,multistep,0.0005,0.9,1.0,20,42,5000,72.56,17,75.69,1583.08,cpu
C24,gelu,nesterov,0.01,128,True,0.0,multistep,0.0005,0.9,1.0,20,42,5000,72.48,17,75.05,1704.85,cpu
C01,relu,sgd,0.1,64,True,0.3,multistep,0.0005,0.9,1.0,20,42,5000,77.24,20,80.01,1655.03,cpu
C02,relu,sgd,0.1,128,True,0.0,multistep,0.0005,0.9,1.0,20,42,5000,79.06,20,82.5,1934.62,cpu
C03,relu,sgd,0.01,64,True,0.3,multistep,0.0005,0.9,1.0,20,42,5000,72.0,17,74.86,1612.01,cpu
C04,relu,sgd,0.01,128,True,0.0,multistep,0.0005,0.9,1.0,20,42,5000,71.56,17,74.56,1928.43,cpu
C05,relu,nesterov,0.1,64,True,0.3,multistep,0.0005,0.9,1.0,20,42,5000,77.24,20,80.18,1568.89,cpu
C06,relu,nesterov,0.1,128,True,0.0,multistep,0.0005,0.9,1.0,20,42,5000,79.36,19,82.59,1916.3,cpu
C07,relu,nesterov,0.01,64,True,0.3,multistep,0.0005,0.9,1.0,20,42,5000,72.48,19,75.26,1581.96,cpu
C08,relu,nesterov,0.01,128,True,0.0,multistep,0.0005,0.9,1.0,20,42,5000,72.2,17,75.09,1946.99,cpu
C09,relu,adam,0.001,64,True,0.3,cosine,0.0005,0.9,1.0,20,42,5000,77.88,20,81.35,1665.12,cpu
C10,relu,adam,0.001,128,True,0.0,cosine,0.0005,0.9,1.0,20,42,5000,77.12,20,80.79,1926.63,cpu
C11,relu,adam,0.0005,64,True,0.3,cosine,0.0005,0.9,1.0,20,42,5000,73.46,19,77.09,1662.9,cpu
C12,relu,adam,0.0005,128,True,0.0,cosine,0.0005,0.9,1.0,20,42,5000,72.38,18,76.58,1960.51,cpu
C13,relu,adamw,0.001,64,True,0.3,cosine,0.0005,0.9,1.0,20,42,5000,75.52,20,79.06,1719.41,cpu
C14,relu,adamw,0.001,128,True,0.0,cosine,0.0005,0.9,1.0,20,42,5000,75.52,19,79.52,1970.9,cpu
C15,relu,adamw,0.0005,64,True,0.3,cosine,0.0005,0.9,1.0,20,42,5000,72.2,17,74.79,1685.89,cpu
C16,relu,adamw,0.0005,128,True,0.0,cosine,0.0005,0.9,1.0,20,42,5000,71.7,17,75.45,1945.87,cpu
C17,gelu,sgd,0.1,64,True,0.3,multistep,0.0005,0.9,1.0,20,42,5000,77.76,19,80.92,1659.28,cpu
C18,gelu,sgd,0.1,128,True,0.0,multistep,0.0005,0.9,1.0,20,42,5000,78.76,19,82.45,2096.14,cpu
C19,gelu,sgd,0.01,64,True,0.3,multistep,0.0005,0.9,1.0,20,42,5000,72.06,17,75.41,1684.68,cpu
C20,gelu,sgd,0.01,128,True,0.0,multistep,0.0005,0.9,1.0,20,42,5000,71.92,17,74.69,2034.39,cpu
C21,gelu,nesterov,0.1,64,True,0.3,multistep,0.0005,0.9,1.0,20,42,5000,78.14,20,81.43,1713.5,cpu
C22,gelu,nesterov,0.1,128,True,0.0,multistep,0.0005,0.9,1.0,20,42,5000,80.02,19,82.86,2007.14,cpu
C23,gelu,nesterov,0.01,64,True,0.3,multistep,0.0005,0.9,1.0,20,42,5000,72.56,17,75.69,1671.55,cpu
C24,gelu,nesterov,0.01,128,True,0.0,multistep,0.0005,0.9,1.0,20,42,5000,72.48,17,75.05,2009.92,cpu
