id,activation,optimizer,lr,batch_size,bn,dropout,scheduler,weight_decay,momentum,width_mult,epochs,seed,val_split,best_val_acc,best_epoch,test_acc_at_best,runtime_sec,device
C01,relu,sgd,0.1,64,True,0.3,multistep,0.0005,0.9,1.0,20,42,5000,77.24,20,80.01,1679.62,cpu
C02,relu,sgd,0.1,128,True,0.0,multistep,0.0005,0.9,1.0,20,42,5000,79.06,20,82.5,1803.4,cpu
C03,relu,sgd,0.01,64,True,0.3,multistep,0.0005,0.9,1.0,20,42,5000,72.0,17,74.86,1665.15,cpu
C04,relu,sgd,0.01,128,True,0.0,multistep,0.0005,0.9,1.0,20,42,5000,71.56,17,74.56,1792.13,cpu
C05,relu,nesterov,0.1,64,True,0.3,multistep,0.0005,0.9,1.0,20,42,5000,77.24,20,80.18,1663.71,cpu
C06,relu,nesterov,0.1,128,True,0.0,multistep,0.0005,0.9,1.0,20,42,5000,79.36,19,82.59,1823.58,cpu
C07,relu,nesterov,0.01,64,True,0.3,multistep,0.0005,0.9,1.0,20,42,5000,72.48,19,75.26,1730.35,cpu
C08,relu,nesterov,0.01,128,True,0.0,multistep,0.0005,0.9,1.0,20,42,5000,72.2,17,75.09,1805.15,cpu
C09,relu,adam,0.001,64,True,0.3,cosine,0.0005,0.9,1.0,20,42,5000,77.88,20,81.35,1753.31,cpu
C10,relu,adam,0.001,128,True,0.0,cosine,0.0005,0.9,1.0,20,42,5000,77.12,20,80.79,1812.78,cpu
C11,relu,adam,0.0005,64,True,0.3,cosine,0.0005,0.9,1.0,20,42,5000,73.46,19,77.09,1710.58,cpu
C12,relu,adam,0.0005,128,True,0.0,cosine,0.0005,0.9,1.0,20,42,5000,72.38,18,76.58,1837.9,cpu
C13,relu,adamw,0.001,64,True,0.3,cosine,0.0005,0.9,1.0,20,42,5000,75.52,20,79.06,1720.6,cpu
C14,relu,adamw,0.001,128,True,0.0,cosine,0.0005,0.9,1.0,20,42,5000,75.52,19,79.52,1798.77,cpu
C15,relu,adamw,0.0005,64,True,0.3,cosine,0.0005,0.9,1.0,20,42,5000,72.2,17,74.79,1680.45,cpu
C16,relu,adamw,0.0005,128,True,0.0,cosine,0.0005,0.9,1.0,20,42,5000,71.7,17,75.45,1773.68,cpu
C17,gelu,sgd,0.1,64,True,0.3,multistep,0.0005,0.9,1.0,20,42,5000,77.76,19,80.92,1722.5,cpu
C18,gelu,sgd,0.1,128,True,0.0,multistep,0.0005,0.9,1.0,20,42,5000,78.76,19,82.45,1660.69,cpu
C19,gelu,sgd,0.01,64,True,0.3,multistep,0.0005,0.9,1.0,20,42,5000,72.06,17,75.41,1619.31,cpu
C20,gelu,sgd,0.01,128,True,0.0,multistep,0.0005,0.9,1.0,20,42,5000,71.92,17,74.69,1559.03,cpu
